Date,2014/4/25 15:20
Script,FracBack_OSX
Version,EDC042314
Block,Miniblock,Trial,Type,Cue,IsMatch,KeyPressed,Acc,Rt_us,CueDuration_us,ITIDuration_us,BlockOnset_us,MiniBlockOnset_us,CueOnset_us,ITIOnset_us,EventCodeSequence
Date,2014/4/25 15:24
Script,FracBack_OSX
Version,EDC042314
Block,Miniblock,Trial,Type,Cue,IsMatch,KeyPressed,Acc,Rt_us,CueDuration_us,ITIDuration_us,BlockOnset_us,MiniBlockOnset_us,CueOnset_us,ITIOnset_us,EventCodeSequence
Date,2014/4/25 15:25
Script,FracBack_OSX
Version,EDC042314
Block,Miniblock,Trial,Type,Cue,IsMatch,KeyPressed,Acc,Rt_us,CueDuration_us,ITIDuration_us,BlockOnset_us,MiniBlockOnset_us,CueOnset_us,ITIOnset_us,EventCodeSequence
Date,2014/4/25 15:35
Script,FracBack_OSX
Version,EDC042314
Block,Miniblock,Trial,Type,Cue,IsMatch,KeyPressed,Acc,Rt_us,CueDuration_us,ITIDuration_us,BlockOnset_us,MiniBlockOnset_us,CueOnset_us,ITIOnset_us,EventCodeSequence
1,4,0,3,REST,0,,0,0,0,0,508.9095,619.9344,0,0,50
1,5,1,1,F,FALSE,,-1,0,0.5,1.4751,508.9095,652.9344,652.9344,653.4344,22  43
1,5,2,1,F,TRUE,1!,1,0.7295,0.5,1.4751,508.9095,652.9344,654.9344,655.4344,21  41
1,5,3,1,R,FALSE,2@,1,0.4769,0.5,1.4751,508.9095,652.9344,656.9344,657.4344,22  41
1,5,4,1,W,FALSE,,-1,0,0.5,1.4751,508.9095,652.9344,658.9344,659.4344,22  43
1,5,5,1,M,FALSE,,-1,0,0.5,1.4751,508.9095,652.9344,660.9344,661.4344,22  43
1,5,6,1,M,TRUE,,-1,0,0.5,1.4751,508.9095,652.9344,662.9344,663.4344,21  43
1,5,7,1,L,FALSE,2@,1,0.35686,0.46666,1.4751,508.9095,652.9344,664.9677,665.4344,22  41
1,5,8,1,H,FALSE,,-1,0,0.5,1.4751,508.9095,652.9344,666.9344,667.4344,22  43
1,5,9,1,H,TRUE,1!,1,0.46915,0.5,1.4751,508.9095,652.9344,668.9344,669.4344,21  41
1,5,10,1,B,FALSE,2@,1,0.36762,0.5,1.4751,508.9095,652.9344,670.9344,671.4344,22  41
1,5,11,1,R,FALSE,2@,1,0.47693,0.5,1.4751,508.9095,652.9344,672.9344,673.4344,22  41
1,5,12,1,R,TRUE,2@,0,0.42031,0.5,1.4751,508.9095,652.9344,674.9344,675.4344,21  42
1,5,13,1,B,FALSE,2@,1,0.47039,0.49999,1.4751,508.9095,652.9344,676.9344,677.4344,22  41
