1,1.5,0,0,2
2,1.125,1.5,2,0
0,1.5,2.625,1,0
2,2.125,4.125,2,0
0,1.5,6.25,0,0
2,0.875,7.75,2,0
0,1.5,8.625,1,0
2,0.875,10.125,2,0
0,1.5,11,0,0
2,2.125,12.5,2,0
0,1.5,14.625,0,0
2,0.625,16.125,2,0
0,1.5,16.75,1,0
2,1.25,18.25,2,0
1,1.5,19.5,1,1
2,0.625,21,2,0
1,1.5,21.625,1,2
2,1.625,23.125,2,0
1,1.5,24.75,0,1
2,0.5,26.25,2,0
0,1.5,26.75,1,0
2,0.75,28.25,2,0
0,1.5,29,1,0
2,0.5,30.5,2,0
0,1.5,31,0,0
2,1.25,32.5,2,0
0,1.5,33.75,1,0
2,1.5,35.25,2,0
0,1.5,36.75,0,0
2,0.75,38.25,2,0
0,1.5,39,0,0
2,1.125,40.5,2,0
0,1.5,41.625,1,0
2,1.5,43.125,2,0
1,1.5,44.625,0,1
2,0.625,46.125,2,0
0,1.5,46.75,0,0
2,0.625,48.25,2,0
0,1.5,48.875,1,0
2,1.375,50.375,2,0
1,1.5,51.75,1,2
2,1.375,53.25,2,0
0,1.5,54.625,1,0
2,0.5,56.125,2,0
0,1.5,56.625,0,0
2,0.875,58.125,2,0
0,1.5,59,0,0
2,1.5,60.5,2,0
0,1.5,62,1,0
2,0.625,63.5,2,0
0,1.5,64.125,0,0
2,1,65.625,2,0
0,1.5,66.625,1,0
2,2,68.125,2,0
1,1.5,70.125,0,1
2,1.5,71.625,2,0
0,1.5,73.125,1,0
2,2,74.625,2,0
0,1.5,76.625,0,0
2,0.875,78.125,2,0
0,1.5,79,0,0
2,1.25,80.5,2,0
1,1.5,81.75,1,2
2,0.625,83.25,2,0
1,1.5,83.875,0,1
2,1.75,85.375,2,0
1,1.5,87.125,1,2
2,0.875,88.625,2,0
0,1.5,89.5,1,0
2,0.5,91,2,0
0,1.5,91.5,1,0
2,0.625,93,2,0
0,1.5,93.625,1,0
2,1.875,95.125,2,0
0,1.5,97,0,0
2,1.875,98.5,2,0
0,1.5,100.38,0,0
2,1.25,101.88,2,0
0,1.5,103.12,0,0
2,1.5,104.62,2,0
0,1.5,106.12,0,0
2,0.625,107.62,2,0
0,1.5,108.25,1,0
2,1.375,109.75,2,0
1,1.5,111.12,0,2
2,1.375,112.62,2,0
0,1.5,114,1,0
2,1.75,115.5,2,0
1,1.5,117.25,1,1
2,0.5,118.75,2,0
