1	1.5	0	1	1
2	0.5	1.5	2	0
0	1.5	2	1	0
2	0.75	3.5	2	0
0	1.5	4.25	0	0
2	1.25	5.75	2	0
0	1.5	7	1	0
2	1.5	8.5	2	0
0	1.5	10	1	0
2	1.25	11.5	2	0
0	1.5	12.75	0	0
2	0.5	14.25	2	0
0	1.5	14.75	0	0
2	0.5	16.25	2	0
1	1.5	16.75	0	2
2	1.5	18.25	2	0
0	1.5	19.75	0	0
2	3	21.25	2	0
1	1.5	24.25	1	1
2	2.625	25.75	2	0
0	1.5	28.375	1	0
2	2.875	29.875	2	0
0	1.5	32.75	1	0
2	1.75	34.25	2	0
0	1.5	36	1	0
2	0.75	37.5	2	0
0	1.5	38.25	0	0
2	0.875	39.75	2	0
1	1.5	40.625	0	2
2	0.5	42.125	2	0
0	1.5	42.625	0	0
2	0.75	44.125	2	0
0	1.5	44.875	0	0
2	0.625	46.375	2	0
0	1.5	47	0	0
2	0.625	48.5	2	0
0	1.5	49.125	0	0
2	2.125	50.625	2	0
0	1.5	52.75	1	0
2	0.5	54.25	2	0
0	1.5	54.75	1	0
2	0.875	56.25	2	0
1	1.5	57.125	1	2
2	1	58.625	2	0
1	1.5	59.625	0	1
2	0.625	61.125	2	0
0	1.5	61.75	1	0
2	0.625	63.25	2	0
0	1.5	63.875	0	0
2	0.625	65.375	2	0
0	1.5	66	1	0
2	0.625	67.5	2	0
0	1.5	68.125	0	0
2	0.875	69.625	2	0
0	1.5	70.5	1	0
2	1.75	72	2	0
0	1.5	73.75	0	0
2	2.375	75.25	2	0
0	1.5	77.625	1	0
2	0.5	79.125	2	0
1	1.5	79.625	0	2
2	0.625	81.125	2	0
1	1.5	81.75	1	1
2	0.875	83.25	2	0
1	1.5	84.125	0	2
2	2	85.625	2	0
1	1.5	87.625	1	1
2	1.625	89.125	2	0
0	1.5	90.75	0	0
2	0.75	92.25	2	0
0	1.5	93	0	0
2	1.5	94.5	2	0
0	1.5	96	1	0
2	0.625	97.5	2	0
0	1.5	98.125	0	0
2	1.5	99.625	2	0
0	1.5	101.12	1	0
2	1.375	102.62	2	0
0	1.5	104	1	0
2	1	105.5	2	0
0	1.5	106.5	1	0
2	2.875	108	2	0
1	1.5	110.88	0	1
2	0.75	112.38	2	0
1	1.5	113.12	1	2
2	0.625	114.62	2	0
0	1.5	115.25	1	0
2	1.5	116.75	2	0
0	1.5	118.25	0	0
