Subject,RunTime,Trial,TR,TrialType,CueValue,TrialOnset,CueOnset,DelayOnset,TargetOnset,FeedBackOnset,CueDuration,TargetDuration,CurrentTargetDuration,ITI,RT,ACC,KeyPressed,TrialGain,Total,TotalWinPercent,Timing
127_b1,05-May-2014 16:19:28,1,7,1,-$0,0.29382,18.0228,20.0228,22.8895,24.0228,2,0.26666,0.350,6,0.23989,1,1!,$0,$0.00,0.02381,hit
127_b1,05-May-2014 16:19:28,2,7,2,-$1,26.2212,32.0228,34.0228,36.9562,38.0228,2,0.33333,0.350,6,0.45022,0,1!,-$1,$-1.00,0.02381,late
127_b1,05-May-2014 16:19:28,3,7,2,-$1,40.034,46.0228,48.0228,50.3728,52.0228,2,0.21666,0.350,6,0.20354,1,1!,$0,$-1.00,0.047619,hit
127_b1,05-May-2014 16:19:28,4,5,4,+$0,54.0309,60.0228,62.0228,64.9562,66.0228,2,0.23333,0.350,2,0.21922,1,1!,+$0,$-1.00,0.071429,hit
127_b1,05-May-2014 16:19:28,5,6,4,+$0,68.0314,70.0228,72.0228,74.7562,76.0228,2,0.23334,0.350,4,0.21922,1,1!,+$0,$-1.00,0.095238,hit
127_b1,05-May-2014 16:19:28,6,6,6,+$5,78.0311,82.0228,84.0228,86.3395,88.0228,2,0.23333,0.350,4,0.21689,1,1!,+$5,$4.00,0.11905,hit
127_b1,05-May-2014 16:19:28,7,7,4,+$0,90.0312,94.0228,96.0228,98.4895,100.0228,2,0.28333,0.350,6,0.27389,1,1!,+$0,$4.00,0.14286,hit
127_b1,05-May-2014 16:19:28,8,6,4,+$0,102.0311,108.0228,110.0228,112.6895,114.0228,2,0.21667,0.330,4,0.20589,1,1!,+$0,$4.00,0.16667,hit
127_b1,05-May-2014 16:19:28,9,7,3,-$5,116.0304,120.0228,122.0228,124.9895,126.0228,2,0.2,0.350,6,0.1869,1,1!,$0,$4.00,0.19048,hit
127_b1,05-May-2014 16:19:28,10,6,2,-$1,128.032,134.0228,136.0228,139.0062,140.0228,2,0.18334,0.350,4,0.17723,1,1!,$0,$4.00,0.21429,hit
127_b1,05-May-2014 16:19:28,11,7,5,+$1,142.0313,146.0228,148.0228,150.3895,152.0228,2,0.21666,0.350,6,0.20489,1,1!,+$1,$5.00,0.2381,hit
127_b1,05-May-2014 16:19:28,12,5,1,-$0,154.0318,160.0228,162.0228,165.0062,166.0228,2,0.20001,0.350,2,0.19022,1,1!,$0,$5.00,0.2619,hit
127_b1,05-May-2014 16:19:28,13,5,5,+$1,168.0312,170.0228,172.0228,174.9895,176.0228,2,0.31667,0.350,2,0.30189,1,1!,+$1,$6.00,0.28571,hit
127_b1,05-May-2014 16:19:28,14,7,5,+$1,178.0305,180.0228,182.0228,184.6395,186.0228,2,0.21668,0.350,6,0.2119,1,1!,+$1,$7.00,0.30952,hit
127_b1,05-May-2014 16:19:28,15,5,6,+$5,188.0305,194.0228,196.0228,198.8728,200.0228,2,0.21666,0.350,2,0.19656,1,1!,+$5,$12.00,0.33333,hit
127_b1,05-May-2014 16:19:28,16,6,3,-$5,202.0312,204.0228,206.0228,208.3728,210.0228,2,0.21666,0.350,4,0.20756,1,1!,$0,$12.00,0.35714,hit
127_b1,05-May-2014 16:19:28,17,6,4,+$0,212.0311,216.0228,218.0228,220.5895,222.0228,2,0.28334,0.310,4,0.2899,0,1!,$0,$12.00,0.35714,late
127_b1,05-May-2014 16:19:28,18,7,2,-$1,224.0304,228.0228,230.0228,232.9562,234.0228,2,0.19999,0.330,6,0.18822,1,1!,$0,$12.00,0.38095,hit
127_b1,05-May-2014 16:19:28,19,5,1,-$0,236.0305,242.0228,244.0228,246.8728,248.0228,2,0.21666,0.350,2,0.19956,1,1!,$0,$12.00,0.40476,hit
127_b1,05-May-2014 16:19:28,20,6,2,-$1,250.0313,252.0228,254.0228,256.9895,258.0228,2,0.2,0.310,4,0.18789,1,1!,$0,$12.00,0.42857,hit
127_b1,05-May-2014 16:19:28,21,7,6,+$5,260.0312,264.0228,266.0228,268.7728,270.0228,2,0.15,0.350,6,0.14056,1,1!,+$5,$17.00,0.45238,hit
127_b1,05-May-2014 16:19:28,22,7,3,-$5,272.0311,278.0228,280.0228,282.3062,284.0228,2,0.21665,0.350,6,0.20621,1,1!,$0,$17.00,0.47619,hit
127_b1,05-May-2014 16:19:28,23,6,6,+$5,286.0312,292.0228,294.0228,296.9062,298.0228,2,0.21666,0.330,4,0.20121,1,1!,+$5,$22.00,0.5,hit
127_b1,05-May-2014 16:19:28,24,5,5,+$1,300.0306,304.0228,306.0228,308.9728,310.0228,2,0.21666,0.330,2,0.19956,1,1!,+$1,$23.00,0.52381,hit
127_b1,05-May-2014 16:19:28,25,6,3,-$5,312.0312,314.0228,316.0228,318.7895,320.0228,2,0.18332,0.330,4,0.17788,1,1!,$0,$23.00,0.54762,hit
127_b1,05-May-2014 16:19:28,26,7,2,-$1,322.0317,326.0228,328.0228,330.8395,332.0228,2,0.2,0.290,6,0.19089,1,1!,$0,$23.00,0.57143,hit
127_b1,05-May-2014 16:19:28,27,6,5,+$1,334.0325,340.0228,342.0228,344.8395,346.0228,2,0.2,0.310,4,0.19588,1,1!,+$1,$24.00,0.59524,hit
127_b1,05-May-2014 16:19:28,28,5,1,-$0,348.0312,352.0228,354.0228,356.5728,358.0228,2,0.25,0.330,2,0.23756,1,1!,$0,$24.00,0.61905,hit
127_b1,05-May-2014 16:19:28,29,5,5,+$1,360.0312,362.0228,364.0228,366.7728,368.0228,2,0.19999,0.290,2,0.19455,1,1!,+$1,$25.00,0.64286,hit
127_b1,05-May-2014 16:19:28,30,7,6,+$5,370.0312,372.0228,374.0228,376.4062,378.0228,2,0.21666,0.310,6,0.20822,1,1!,+$5,$30.00,0.66667,hit
127_b1,05-May-2014 16:19:28,31,7,1,-$0,380.0314,386.0228,388.0228,390.8062,392.0228,2,0.26667,0.310,6,0.26122,1,1!,$0,$30.00,0.69048,hit
127_b1,05-May-2014 16:19:28,32,7,4,+$0,394.0312,400.0228,402.0228,404.3062,406.0228,2,0.23334,0.290,6,0.22223,1,1!,+$0,$30.00,0.71429,hit
127_b1,05-May-2014 16:19:28,33,5,2,-$1,408.0312,414.0228,416.0228,418.4895,420.0228,2,0.21665,0.270,2,0.20588,1,1!,$0,$30.00,0.7381,hit
127_b1,05-May-2014 16:19:28,34,5,4,+$0,422.0312,424.0228,426.0228,428.3062,430.0228,2,0.25,0.270,2,0.25322,0,1!,$0,$30.00,0.7381,late
127_b1,05-May-2014 16:19:28,35,6,6,+$5,432.032,434.0228,436.0228,438.3395,440.0228,2,0.2,0.290,4,0.19089,1,1!,+$5,$35.00,0.7619,hit
127_b1,05-May-2014 16:19:28,36,6,1,-$0,442.0312,446.0228,448.0228,450.8895,452.0228,2,0.21667,0.290,4,0.20189,1,1!,$0,$35.00,0.78571,hit
127_b1,05-May-2014 16:19:28,37,5,6,+$5,454.032,458.0228,460.0228,462.7895,464.0228,2,0.2,0.270,2,0.18889,1,1!,+$5,$40.00,0.80952,hit
127_b1,05-May-2014 16:19:28,38,6,3,-$5,466.0312,468.0228,470.0228,472.5062,474.0228,2,0.21665,0.310,4,0.19722,1,1!,$0,$40.00,0.83333,hit
127_b1,05-May-2014 16:19:28,39,5,5,+$1,476.0311,480.0228,482.0228,484.9895,486.0228,2,0.21667,0.270,2,0.19789,1,1!,+$1,$41.00,0.85714,hit
127_b1,05-May-2014 16:19:28,40,5,3,-$5,488.0318,490.0228,492.0228,494.3062,496.0228,2,0.2,0.290,2,0.19122,1,1!,$0,$41.00,0.88095,hit
127_b1,05-May-2014 16:19:28,41,5,3,-$5,498.0311,500.0228,502.0228,504.6062,506.0228,2,0.21667,0.270,2,0.19922,1,1!,$0,$41.00,0.90476,hit
127_b1,05-May-2014 16:19:28,42,6,1,-$0,508.0305,510.0228,512.0228,514.5562,516.0228,2,0.23334,0.270,4,0.21822,1,1!,$0,$41.00,0.92857,hit
