Subject,RunTime,Trial,TR,TrialType,CueValue,TrialOnset,CueOnset,DelayOnset,TargetOnset,FeedBackOnset,CueDuration,TargetDuration,CurrentTargetDuration,ITI,RT,ACC,KeyPressed,TrialGain,Total,TotalWinPercent,Timing
999_b1,08-Jun-2014 14:01:09,1,7,1,-$0,0.22945,12.0047,14.023,16.8921,18.0264,2.0183,0.4337,0.450,6,NaN,0,NaN,-$0,$0.00,0,noResponse
999_b1,08-Jun-2014 14:01:09,2,7,2,-$1,21.4455,26.033,28.018,30.9538,32.0213,1.985,0.43368,0.450,6,NaN,0,NaN,-$1,$-1.00,0,noResponse
999_b1,08-Jun-2014 14:01:09,3,7,2,-$1,34.0341,40.028,42.0296,44.3649,46.0163,2.0017,0.43369,0.450,6,NaN,0,NaN,-$1,$-2.00,0,noResponse
999_b1,08-Jun-2014 14:01:09,4,5,4,+$0,48.0265,54.0229,56.0246,58.9604,60.0279,2.0017,0.4337,0.450,2,NaN,0,NaN,$0,$-2.00,0,noResponse
999_b1,08-Jun-2014 14:01:09,5,6,4,+$0,62.038,64.0312,66.0162,68.7518,70.0195,1.985,0.43369,0.450,4,NaN,0,NaN,$0,$-2.00,0,noResponse
999_b1,08-Jun-2014 14:01:09,6,6,6,+$5,72.0296,76.0245,78.0262,80.3448,82.0295,2.0017,0.43368,0.450,4,NaN,0,NaN,$0,$-2.00,0,noResponse
Subject,RunTime,Trial,TR,TrialType,CueValue,TrialOnset,CueOnset,DelayOnset,TargetOnset,FeedBackOnset,CueDuration,TargetDuration,CurrentTargetDuration,ITI,RT,ACC,KeyPressed,TrialGain,Total,TotalWinPercent,Timing
999_b1,08-Jun-2014 14:06:48,1,7,1,-$0,0.044677,12.0244,14.0261,16.4781,18.0294,2.0017,0.36697,0.400,6,0.35478,1,/,$0,$0.00,0.02381,hit
999_b1,08-Jun-2014 14:06:48,2,7,2,-$1,20.0868,26.0194,28.021,30.6899,32.0243,2.0017,0.21684,0.400,6,0.20696,1,/,$0,$0.00,0.047619,hit
999_b1,08-Jun-2014 14:06:48,3,7,2,-$1,34.0349,40.031,42.016,44.9851,46.0193,1.985,0.30024,0.400,6,0.28775,0,/,-$1,$-1.00,0.047619,early
999_b1,08-Jun-2014 14:06:48,4,5,4,+$0,48.0297,54.026,56.0276,58.9967,60.0309,2.0017,0.3503,0.400,2,0.34013,1,/,+$0,$-1.00,0.071429,hit
999_b1,08-Jun-2014 14:06:48,5,6,4,+$0,62.0246,64.0176,66.0192,68.3879,70.0226,2.0017,0.31693,0.400,4,0.309,1,/,+$0,$-1.00,0.095238,hit
999_b1,08-Jun-2014 14:06:48,6,6,6,+$5,72.0328,76.0276,78.0292,80.9984,82.0159,2.0017,0.38365,0.400,4,0.38654,0,/,$0,$-1.00,0.095238,late
999_b1,08-Jun-2014 14:06:48,7,7,4,+$0,84.0261,88.0209,90.0225,92.9916,94.0258,2.0017,0.30025,0.400,6,0.28124,1,/,+$0,$-1.00,0.11905,hit
999_b1,08-Jun-2014 14:06:48,8,6,4,+$0,96.0361,102.0325,104.0175,106.6363,108.0208,1.985,0.30025,0.380,4,0.29257,1,/,+$0,$-1.00,0.14286,hit
999_b1,08-Jun-2014 14:06:48,9,7,3,-$5,110.0301,114.0258,116.0274,118.8798,120.0308,2.0017,0.36697,0.400,6,0.46507,0,/,-$5,$-6.00,0.14286,late
999_b1,08-Jun-2014 14:06:48,10,6,2,-$1,122.0413,128.0207,130.0224,132.3744,134.0257,2.0017,0.38365,0.400,4,0.41852,0,/,-$1,$-7.00,0.14286,late
999_b1,08-Jun-2014 14:06:48,11,7,5,+$1,136.0361,140.0307,142.0324,144.5845,146.019,2.0017,0.3336,0.400,6,0.32038,1,/,+$1,$-6.00,0.16667,hit
999_b1,08-Jun-2014 14:06:48,12,5,1,-$0,148.0294,154.0257,156.0273,158.9631,160.0307,2.0017,0.38366,0.400,2,NaN,0,NaN,-$0,$-6.00,0.16667,noResponse
999_b1,08-Jun-2014 14:06:48,13,5,5,+$1,162.0409,164.0173,166.019,168.8713,170.0223,2.0017,0.3503,0.400,2,0.34556,1,/,+$1,$-5.00,0.19048,hit
999_b1,08-Jun-2014 14:06:48,14,7,5,+$1,172.0332,174.0256,176.0273,178.9964,180.0306,2.0017,0.35029,0.400,6,0.34047,1,/,+$1,$-4.00,0.21429,hit
999_b1,08-Jun-2014 14:06:48,15,5,6,+$5,182.0408,188.0206,190.0222,192.7578,194.0256,2.0017,0.33362,0.400,2,0.32305,1,/,+$5,$1.00,0.2381,hit
