Subject,RunTime,Trial,TR,TrialType,CueValue,TrialOnset,CueOnset,DelayOnset,TargetOnset,FeedBackOnset,CueDuration,TargetDuration,CurrentTargetDuration,ITI,RT,ACC,KeyPressed,TrialGain,Total,TotalWinPercent,Timing
128_b1,05-May-2014 16:42:43,1,7,1,-$0,0.17284,18.0218,20.0218,22.3385,24.0218,2,0.2,0.225,6,0.23622,0,1!,-$0,$0.00,0,late
128_b1,05-May-2014 16:42:43,2,7,2,-$1,26.0311,32.0218,34.0218,36.3218,38.0218,2,0.2,0.225,6,NaN,0,NaN,-$1,$-1.00,0,noResponse
128_b1,05-May-2014 16:42:43,3,7,2,-$1,40.0299,46.0218,48.0218,50.6718,52.0218,2,0.20001,0.225,6,0.18689,1,1!,$0,$-1.00,0.02381,hit
128_b1,05-May-2014 16:42:43,4,5,4,+$0,54.0305,60.0218,62.0218,64.8551,66.0218,2,0.18333,0.225,2,0.17255,1,1!,+$0,$-1.00,0.047619,hit
128_b1,05-May-2014 16:42:43,5,6,4,+$0,68.0304,70.0218,72.0218,74.9718,76.0218,2,0.19999,0.225,4,NaN,0,NaN,$0,$-1.00,0.047619,noResponse
128_b1,05-May-2014 16:42:43,6,6,6,+$5,78.0301,82.0218,84.0218,86.3718,88.0218,2,0.2,0.225,4,NaN,0,NaN,$0,$-1.00,0.047619,noResponse
128_b1,05-May-2014 16:42:43,7,7,4,+$0,90.0305,94.0218,96.0218,98.7051,100.0218,2,0.2,0.225,6,0.20457,0,1!,$0,$-1.00,0.047619,late
128_b1,05-May-2014 16:42:43,8,6,4,+$0,102.031,108.0218,110.0218,112.6218,114.0218,2,0.23334,0.245,4,NaN,0,NaN,$0,$-1.00,0.047619,noResponse
128_b1,05-May-2014 16:42:43,9,7,3,-$5,116.03,120.0218,122.0218,124.2885,126.0218,2,0.2,0.225,6,0.25423,0,1!,-$5,$-6.00,0.047619,late
128_b1,05-May-2014 16:42:43,10,6,2,-$1,128.0303,134.0218,136.0218,138.5218,140.0218,2,0.21668,0.225,4,0.25689,0,1!,-$1,$-7.00,0.047619,late
128_b1,05-May-2014 16:42:43,11,7,5,+$1,142.0309,146.0218,148.0218,150.3885,152.0218,2,0.19999,0.225,6,0.19122,1,1!,+$1,$-6.00,0.071429,hit
128_b1,05-May-2014 16:42:43,12,5,1,-$0,154.0301,160.0218,162.0218,164.8718,166.0218,2,0.2,0.225,2,0.21189,0,1!,-$0,$-6.00,0.071429,late
128_b1,05-May-2014 16:42:43,13,5,5,+$1,168.0301,170.0218,172.0218,174.5051,176.0218,2,0.2,0.225,2,0.18255,1,1!,+$1,$-5.00,0.095238,hit
128_b1,05-May-2014 16:42:43,14,7,5,+$1,178.0305,180.0218,182.0218,184.6718,186.0218,2,0.2,0.225,6,0.18489,1,1!,+$1,$-4.00,0.11905,hit
128_b1,05-May-2014 16:42:43,15,5,6,+$5,188.0301,194.0218,196.0218,198.4051,200.0218,2,0.19999,0.225,2,NaN,0,NaN,$0,$-4.00,0.11905,noResponse
