Subject,RunTime,Trial,TR,TrialType,CueValue,TrialOnset,CueOnset,DelayOnset,TargetOnset,FeedBackOnset,CueDuration,TargetDuration,CurrentTargetDuration,ITI,RT,ACC,KeyPressed,TrialGain,Total,TotalWinPercent,Timing
127_b1,02-May-2014 10:58:11,1,7,1,-$0,0.088483,18.0172,20.0188,22.8879,24.0222,2.0017,0.58383,0.600,6,NaN,0,NaN,-$0,$0.00,0,noResponse
127_b1,02-May-2014 10:58:11,2,7,2,-$1,26.1885,32.0288,34.0305,36.9496,38.0171,2.0017,0.58382,0.600,6,NaN,0,NaN,-$1,$-1.00,0,noResponse
127_b1,02-May-2014 10:58:11,3,7,2,-$1,40.028,46.0238,48.0254,50.3774,52.0287,2.0017,0.56713,0.600,6,NaN,0,NaN,-$1,$-2.00,0,noResponse
127_b1,02-May-2014 10:58:11,4,5,4,+$0,54.0385,60.0187,62.0204,64.9562,66.0237,2.0017,0.58381,0.600,2,NaN,0,NaN,$0,$-2.00,0,noResponse
